movie_title;release_month;release_year;genre;total_gross;inflation_adjusted_gross
Holy Matrimony;April;1994;Comedy;713234;1473665
Camp Nowhere;August;1994;Comedy;10442641;21576332
The Ref;March;1994;Comedy;11325885;23401275
3 Ninjas Kick Back;May;1994;Action;11744960;24267154
The Santa Clause;November;1994;Comedy;144833357;298369717
Terminal Velocity;September;1994;Action;16478900;34048315
Color of Night;August;1994;Thriller/Suspense;19750470;40804816
Red Rock West;January ;1994;;2502551;5170709
Iron Will;January ;1994;Drama;20623071;42610902
The Air Up There;January ;1994;Comedy;20782439;42940186
Renaissance Man;June;1994;Comedy;24172899;49945474
Quiz Show;September;1994;Drama;24787282;50840394
In the Army Now;August;1994;Comedy;28881266;59673787
A Low Down Dirty Shame;November;1994;Action;29317886;60321919
Squanto: A Warrior's Tale;October;1994;Drama;3319344;6858345
A Simple Twist of Fate;September;1994;Drama;3404935;7035189
Cabin Boy;January ;1994;Comedy;3469493;7168577
Blank Check;February;1994;Comedy;30573770;63170804
I Love Trouble;June;1994;Romantic Comedy;30806194;63651027
The Lion King;June;1994;Adventure;422780140;761640898
The Jungle Book;December;1994;Adventure;44342956;88930321
D2: The Mighty Ducks;March;1994;Comedy;45604206;94226333
Ed Wood;September;1994;Comedy;5828466;12042634
When a Man Loves a Woman;April;1994;Drama;50021959;103354194
Angels in the Outfield;July;1994;Comedy;50236831;103798152
The Puppet Masters;October;1994;Horror;8579626;17727017
White Fang 2: Myth of the White Wolf;April;1994;Adventure;8752399;18083994
The Inkwell;April;1994;Comedy;8864699;18316030
Angie;March;1994;Comedy;9252349;19116981
Feast of July;October;1995;Drama;293274;568342
A Pyromaniac's Love Story;March;1995;Romantic Comedy;46824;907414
Funny Bones;March;1995;Comedy;529135;1025425
The Scarlet Letter;October;1995;Drama;10359006;20075033
Roommates;March;1995;Comedy;12076989;23404369
A Kid in King Arthur's Court;August;1995;Adventure;13406717;25981285
Nixon;December;1995;Drama;13668249;26302005
Pocahontas;June;1995;Adventure;141579773;274370957
Mad Love;May;1995;Drama;15446532;29934306
Heavy Weights;February;1995;Comedy;17671310;34245779
The Big Green;September;1995;Comedy;17736619;34372339
Toy Story;November;1995;Adventure;191796233;370409631
Jefferson in Paris;March;1995;Drama;2461628;4770461
Tom and Huck;December;1995;Adventure;23837227;45911517
Dead Presidents;October;1995;Drama;24120194;46741467
Operation Dumbo Drop;July;1995;Adventure;24670346;47809421
Houseguest;January ;1995;Comedy;26325256;51016522
Bad Company;January ;1995;Thriller/Suspense;3523909;6829092
Powder;October;1995;Drama;30833914;59727216
Judge Dredd;June;1995;Action;34687912;67222776
A Goofy Movie;April;1995;Comedy;35336439;68479579
Man of the House;March;1995;Comedy;40029009;77573459
Miami Rhapsody;January ;1995;Romantic Comedy;5086578;9857435
The Tie That Binds;September;1995;Thriller/Suspense;5762795;11167895
The Jerky Boys;February;1995;Comedy;7555256;14641561
Unstrung Heroes;September;1995;Drama;7929000;15365850
Father of the Bride Part II;December;1995;Comedy;76578911;147658438
Tall Tale;March;1995;Western;8247627;15983331
While You Were Sleeping;April;1995;Romantic Comedy;81057016;157082900
Mr. Holland's Opus;December;1995;Drama;82582604;157508868
Dangerous Minds;August;1995;Drama;84919401;164552293
Crimson Tide;May;1995;Action;91387195;177102077
The War at Home;November;1996;;34368;65543
Un indien dans la ville;March;1996;Comedy;1029731;1963937
Two Much;March;1996;Romantic Comedy;1078555;2057055
